MainBusiness,SafeValue,ShineValue,ShapeValue,TPFlag,ZTPrice,DTPrice,HqDate,fHSL,fLianB,Wtb,Zsz,Ltsz,vzangsu,Fzhsl,FzAmo,VOpenZAF,ZAF,ZAFYesterday,ZAFPre2D,ZAFPre5,ZAFPre10,ZAFPre20,ZAFPre30,ZAFPre60,ZAFYear,ZAFPreMyMonth,ZAFPreOneYear,Zjl,Zjl_HB,TotalBVol,TotalSVol,BCancel,SCancel,L2TicNum,L2OrderNum,FCAmo,FCb,OpenZAF,OpenAmo,OpenZTBuy,OpenAmoPre1,OpenVolPre1,CJJEPre1,CJJEPre3,FDEPre1,FDEPre2,ZTGPNum,LastStartZT,LastZTHzNum,EverZTCount,ConZAFDateNum,YearZTDay,MA5Value,HisHigh,HisLow,IPO_Price,More_YJL,BetaValue,DynaPE,MorePE,StaticPE_TTM,DYRatio,PB_MRQ,IsT0Fund,IsZCZGP,IsKzz,Kzz_HSCode,QHMainYYMM,FreeLtgb,Yield,KfEarnMoney,RDInputFee,CashZJ,PreReceiveZJ,OtherQYJzc,StaffNum,RecentGGJYDate,RecentHGDate,RecentIncentDate,NoticeDate_Recent,RecentReleaseDate,RecentDZDate,ReportDate,ZTDate_Recent,DTDate_Recent,TopDate_Recent,StopJYDate_Recent,code,stock_type,fetch_time
工程收入,72,1,90910,0,4.02,3.29,20260622,1.18,1.10,-8.34,59.52,45.79,1.87,0.08,70.76,-0.81,-1.10,-3.18,1.34,-0.27,-9.07,-12.81,-18.88,-15.26,-28.51,-7.44,-5.50,-869.00,-512.08,17369.00,29799.00,93441.00,75516.00,5892,12505,0.00,0.00,-0.82,290700.00,0.00,21.17,569.00,4578.64,16430.05,0.00,0.00,0,1,0,0,-2,10,3.69,6.05,3.48,8.58,0.00,0.84,-24.12,-59.32,-63.58,0.00,1.38,0,0,0,0,0,68051.60,29.07,-6302.64,2.10,350717.82,270389.63,139000.00,3234,0,0,0,0,20250714,20251226,20260428,20251215,20250814,20251124,0,002307.SZ,stock,2026-06-22 22:02:07
电力及通信电缆,43,1,40110,0,3.37,2.75,20260622,6.70,1.32,21.50,93.84,75.07,1.07,0.15,288.88,1.00,1.96,-4.08,-3.63,-1.26,-9.31,-18.53,-32.32,-25.54,-7.96,-11.87,-5.17,1696.79,1221.61,120621.00,103549.00,1106162.00,645639.00,73628,135903,0.00,0.00,-0.98,6878400.50,0.00,164.21,5180.00,38873.56,132413.90,0.00,0.00,0,1,0,0,1,15,3.18,5.43,2.81,46.00,0.00,-0.04,150.23,-161.56,258.10,0.00,5.01,0,0,0,0,0,240613.22,687.84,-3002.38,655.90,65924.82,14661.30,0.00,1574,0,0,0,0,20260306,20180122,20260428,20260514,20260515,20260515,20241111,002309.SZ,stock,2026-06-22 22:02:07
光伏发电,78,1,91210,0,2.56,2.10,20260622,2.45,1.07,-5.38,139.18,102.06,1.03,0.08,178.06,2.20,-0.43,-3.72,-3.20,-4.13,-14.71,-18.88,-27.95,-39.42,3.12,-20.55,8.41,806.47,-33.65,112727.00,169009.00,770587.00,700418.00,33502,71051,0.00,0.00,-0.43,3717800.00,0.00,103.37,4307.00,23130.00,72734.30,0.00,0.00,0,1,0,0,-3,10,2.41,4.11,2.05,58.60,0.00,0.60,-251.58,-184.24,-164.79,0.00,5.81,0,0,0,0,0,288326.09,371.78,-1385.93,31.42,131086.00,0.00,0.00,113,0,0,0,0,20260513,20161111,20260430,20260513,20250428,20260331,20241227,002310.SZ,stock,2026-06-22 22:02:07
饲料,95,8,90901,0,45.32,37.08,20260622,0.66,0.93,72.32,685.96,685.45,0.78,0.02,173.43,-0.26,1.19,-0.91,0.43,-6.42,-3.02,-6.48,-8.17,-18.03,-23.20,-8.84,-25.50,6454.78,-3027.23,3677.00,7883.00,49291.00,40158.00,32379,68362,0.00,0.00,-0.29,304800.00,0.00,30.35,73.00,45207.27,126364.53,0.00,0.00,0,1,0,0,1,0,41.82,67.18,40.46,28.00,0.00,-0.14,19.33,15.84,17.45,3.16,2.73,0,0,0,0,0,73356.40,30.48,56982.68,22488.90,343489.97,370313.63,0.00,44176,0,20251029,20240207,0,20210507,20131206,20260428,20210204,0,20210729,0,002311.SZ,stock,2026-06-22 22:02:07
"工业级磷酸一铵,肥料系列产品",100,2,90109,0,9.26,7.58,20260622,1.60,0.73,0.00,174.80,174.44,0.24,0.02,58.52,0.82,9.98,-1.86,-3.60,4.28,8.56,-3.95,-14.10,-18.20,-14.57,3.34,-16.51,-4104.87,11689.36,120606.00,0.00,1044245.00,25080.00,18518,44882,8856.17,0.32,2.02,2714400.00,0.00,82.43,963.00,21138.99,77770.87,0.00,0.00,0,1,1,1,1,1,8.82,14.06,8.09,28.60,0.00,0.45,48.21,38.39,39.60,1.07,1.80,0,0,0,0,0,103879.32,271.44,10601.97,2617.75,210314.98,52808.69,0.00,6578,0,0,0,0,20250922,20220720,20260428,20260224,20250407,20250117,0,002312.SZ,stock,2026-06-22 22:02:07
无线通信模组,45,2,10704,0,8.80,7.20,20260622,2.12,0.95,4.18,29.84,29.84,0.95,0.07,36.42,-1.11,-0.38,-2.68,-2.61,-2.21,-12.03,-19.57,-21.70,-2.69,-21.78,-10.75,-15.57,126.39,-162.30,4262.00,6837.00,47070.00,32087.00,14695,28483,0.00,0.00,-1.00,153600.00,0.00,18.00,219.00,6494.86,20016.18,0.00,0.00,0,1,0,0,-3,8,8.16,15.13,7.66,24.80,0.00,0.64,75.66,-13.15,-15.93,0.00,38.88,0,0,0,0,0,21184.50,15.36,378.93,4016.84,44992.25,10717.38,0.00,1072,0,0,0,0,20201229,20200629,20260428,20260428,20250407,20250813,0,002313.SZ,stock,2026-06-22 22:02:07
房地产业务,85,1,70901,0,2.28,1.86,20260622,2.68,0.83,29.33,55.51,27.44,1.04,0.09,18.72,0.00,-0.97,-3.27,-3.60,-12.02,-18.00,-9.29,-18.33,-13.14,-28.07,-10.48,-20.24,-820.49,-706.92,39809.00,52012.00,235363.00,250021.00,9095,18410,0.00,0.00,0.00,337599.97,0.00,35.42,1663.00,6617.91,22993.20,0.00,0.00,0,1,0,0,-5,7,2.15,3.74,2.00,16.82,0.00,0.39,-9.70,-2.85,-2.38,0.00,0.82,0,0,0,0,0,85454.02,33.76,-14001.13,1310.10,608799.39,281412.99,0.00,3504,0,0,0,0,20210129,20180718,20260429,20260602,20260202,20250704,0,002314.SZ,stock,2026-06-22 22:02:07
中国制造网业务收入,100,8,10908,0,27.28,22.32,20260622,3.89,1.93,8.05,102.57,65.39,1.16,0.11,346.19,-0.39,0.28,1.43,-1.93,0.73,-5.43,-14.71,-24.27,-14.60,-28.25,-7.72,-18.33,370.48,-1773.07,5363.00,5785.00,49286.00,48675.00,24926,56765,0.00,0.00,0.08,568400.00,0.00,22.01,90.00,13909.42,50607.69,0.00,0.00,0,1,0,0,2,0,24.84,48.28,23.61,42.00,0.00,0.71,26.18,20.31,20.89,4.03,3.57,0,0,0,0,0,21915.92,56.84,9596.31,6868.43,198410.84,124306.68,0.00,2737,0,0,20250430,0,20121210,0,20260430,20250306,20250408,20241209,0,002315.SZ,stock,2026-06-22 22:02:07
"专网通信解决方案,交通工程系统集成",48,3,10110,0,4.84,3.96,20260622,4.92,0.94,-17.00,17.57,15.23,1.34,0.15,77.33,0.00,1.59,2.80,-4.25,-3.04,-8.03,-18.73,-20.75,-5.50,-5.50,-10.24,-12.52,744.14,69.93,9029.00,9905.00,79278.00,72925.00,16318,30349,0.00,0.00,-0.23,711200.00,0.00,177.96,4217.00,9131.92,22479.11,0.00,0.00,0,1,0,0,2,5,4.42,6.77,4.14,18.80,0.00,0.93,307.58,280.51,413.87,0.00,22.46,0,0,0,0,0,31674.42,71.12,20.51,130.10,18191.16,7512.57,0.00,176,0,0,0,0,20250414,0,20260430,20260324,20260323,20260112,0,002316.SZ,stock,2026-06-22 22:02:07
中成药销售,100,1,100212,0,25.19,20.61,20260622,6.73,1.51,-27.46,188.00,168.47,0.66,0.11,686.45,0.98,-3.41,9.99,-4.71,-1.86,1.14,-6.71,-0.98,33.90,17.79,-6.03,48.85,157.19,1481.13,14895.00,20421.00,177132.00,167968.00,114170,189530,0.00,0.00,-1.22,11766899.00,0.00,210.88,1009.00,67812.98,250356.33,2456.03,0.00,0,2,1,0,-1,8,22.02,27.77,14.31,55.00,0.00,0.31,47.08,70.58,66.44,0.87,4.52,0,0,0,0,0,64581.68,1176.69,10267.15,1463.52,73708.42,21059.89,0.00,1757,0,0,0,0,20240105,20230705,20260429,20260618,20251128,20251128,0,002317.SZ,stock,2026-06-22 22:02:07
无缝管,88,7,10408,0,27.63,22.61,20260622,1.32,0.77,15.48,241.56,236.00,0.70,0.03,187.00,0.00,-1.59,4.58,4.03,7.06,8.14,-2.67,-14.26,-12.71,-11.56,5.10,7.99,-4846.93,-859.25,7498.00,10453.00,44150.00,36115.00,27305,47485,0.00,0.00,-1.67,3734600.00,0.00,79.89,333.00,41553.45,103730.39,0.00,0.00,0,1,0,0,-1,0,24.08,35.14,20.53,23.00,0.00,0.52,15.30,16.26,16.20,3.97,2.65,0,0,0,0,0,59256.88,373.46,17781.56,8281.59,260083.38,99640.42,0.00,4680,0,20260325,0,0,20121211,0,20260428,20211104,20250407,20240208,0,002318.SZ,stock,2026-06-22 22:02:07
凹印油墨,69,0,100408,0,12.13,9.93,20260622,3.92,0.69,3.31,22.56,22.56,1.93,0.22,77.97,0.00,-2.36,-2.30,-4.65,-6.26,-10.18,-12.86,-9.72,-2.97,-10.55,-3.67,-17.15,-1839.90,-187.40,4050.00,8492.00,33253.00,52032.00,14696,32163,0.00,0.00,0.00,135700.00,0.00,46.10,408.00,8766.49,29490.96,0.00,0.00,0,1,0,0,-3,5,11.21,16.18,9.81,13.70,0.00,0.91,106.98,-230.28,-599.69,0.00,12.63,0,0,0,0,0,14800.00,13.57,482.78,331.51,398.27,191.77,0.00,405,0,0,0,0,20260519,20241118,20260428,20260119,20251212,20251215,0,002319.SZ,stock,2026-06-22 22:02:07
海安航线,98,5,90901,0,7.45,6.09,20260622,0.91,1.05,-22.66,150.47,150.47,0.83,0.06,89.31,0.00,-0.59,-1.31,-2.42,-2.89,-6.78,-15.13,-22.19,-22.19,-44.52,-11.67,10.32,828.52,-960.33,9347.00,14747.00,87710.00,117854.00,35847,63682,0.00,0.00,-0.15,154800.00,0.00,20.66,303.00,11360.97,36611.78,0.00,0.00,0,1,0,0,-4,5,6.89,16.20,5.91,33.60,0.00,0.70,30.81,87.42,83.44,0.59,3.65,0,0,0,0,0,60779.79,15.48,12226.71,12.25,129454.89,2202.45,0.00,3105,0,0,0,0,20200330,20170330,20260428,20251222,20250407,20251223,0,002320.SZ,stock,2026-06-22 22:02:07
羽绒,67,0,10904,0,1.93,1.58,20260622,1.14,0.97,-21.49,37.54,37.38,1.31,0.05,28.46,0.00,0.57,-0.57,-2.76,-4.35,-6.88,-8.81,-17.37,-13.30,-23.48,-7.36,-25.74,-386.70,39.90,35421.00,70377.00,236642.00,236800.00,7381,18258,0.00,0.00,0.00,124100.00,0.00,10.41,595.00,3335.81,11867.97,0.00,0.00,0,1,0,0,1,2,1.78,3.86,1.70,16.98,0.00,0.34,-62.20,-62.31,-59.18,0.00,4.07,0,0,0,0,0,127045.26,12.41,-1793.43,67.82,31048.38,26947.32,0.00,3959,0,20240704,0,0,20190121,20160121,20260428,20260413,20251124,20250408,0,002321.SZ,stock,2026-06-22 22:02:07
电力软件产品及项目,85,2,90104,0,11.29,9.23,20260622,1.27,1.75,-69.93,37.83,36.37,1.56,0.06,27.43,0.00,0.88,-0.48,-2.83,-2.81,-6.67,-11.54,-15.23,-23.62,-11.39,-8.00,-8.48,459.75,-51.21,2353.00,8114.00,26141.00,15140.00,5950,12067,0.00,0.00,0.19,60700.00,0.00,3.33,32.00,2389.41,10210.04,0.00,0.00,0,1,0,0,1,0,10.47,15.24,9.99,40.00,0.00,0.79,40.90,17.46,18.26,5.71,1.33,0,0,0,0,0,24078.23,6.07,2271.74,3372.23,44015.38,10062.12,0.00,1995,0,20250114,20240807,0,20181109,20151022,20260424,20250114,20260424,20240925,0,002322.SZ,stock,2026-06-22 22:02:07
光伏业务,1,1,130110,0,1.37,1.24,20260622,3.65,0.94,-34.77,26.51,26.51,1.29,0.12,141.74,0.79,-3.85,-5.11,0.00,-15.54,-16.66,8.69,-12.59,-47.48,-23.78,-14.96,-18.83,190.08,-616.17,28278.00,173465.00,243573.00,840275.00,8638,17121,0.00,0.00,-2.31,3440700.00,0.00,173.04,12631.00,10363.39,30455.72,-405.94,0.00,0,1,0,0,-2,20,1.34,3.05,1.09,30.00,0.00,0.84,-59.51,-15.46,-16.20,0.00,13.89,0,0,0,0,0,167237.64,344.07,-1117.30,329.32,5920.83,656.06,0.00,186,0,0,0,0,20220429,20150805,20260429,20260609,20260618,20260616,0,002323.SZ,stock,2026-06-22 22:02:07
通用改性材料类,79,2,111412,0,14.41,11.79,20260622,4.42,1.31,-33.30,144.16,100.61,0.86,0.10,257.90,-0.14,-1.07,-0.61,0.84,7.55,6.58,-4.28,-17.29,-8.86,-18.70,5.80,30.38,36.58,-4676.92,17159.00,21814.00,290470.00,150744.00,45047,84664,0.00,0.00,-0.53,742699.94,0.00,43.20,328.00,28009.96,101325.80,0.00,0.00,0,1,0,0,-2,7,13.02,25.61,9.84,22.50,0.00,1.08,75.79,39.65,47.62,0.41,3.07,0,0,0,0,0,62052.22,74.27,4080.89,10758.15,107370.34,14478.03,0.00,4171,0,20240123,0,0,20250106,20230809,20260425,20260420,20260427,20260427,0,002324.SZ,stock,2026-06-22 22:02:07
锂电及其他材料类,69,2,141410,0,25.53,20.89,20260622,10.23,2.11,27.30,229.99,200.91,1.47,0.39,3020.45,-0.41,7.11,3.66,-0.18,14.98,13.51,2.47,4.89,18.94,-0.24,20.10,89.49,41669.68,27016.82,31098.00,65788.00,282052.00,274159.00,102074,184216,0.00,0.00,1.46,14127600.00,100.00,476.63,2109.00,145171.76,427446.73,0.00,0.00,0,1,0,0,2,7,22.96,33.00,11.40,20.00,0.00,0.61,54.93,-465.77,447.47,0.00,8.27,0,0,0,0,0,64327.94,1412.76,8315.67,3935.34,67923.60,22510.25,0.00,3437,0,0,20240629,0,20250812,20170120,20260428,20251226,20260428,20260428,20260209,002326.SZ,stock,2026-06-22 22:02:08
套件类,90,1,40811,0,6.99,5.72,20260622,1.16,0.76,35.45,52.37,30.83,0.96,0.03,20.43,0.00,-1.10,-1.55,-1.68,-7.23,-6.41,-4.56,-10.42,0.96,-0.64,-2.49,-11.17,-539.58,-285.97,7692.00,6112.00,23608.00,25258.00,6685,12316,0.00,0.00,-0.47,107400.00,0.00,6.19,96.00,3679.81,13360.70,0.00,0.00,0,1,0,0,-5,0,6.47,7.54,6.12,30.00,0.00,0.03,20.26,15.74,15.35,6.06,1.40,0,0,0,0,0,37720.52,10.74,6075.05,1129.50,33648.66,3675.14,0.00,3792,0,20250801,20230928,0,20260107,0,20260425,20221220,0,20241008,0,002327.SZ,stock,2026-06-22 22:02:08
汽车零部件,74,4,11008,0,8.72,7.14,20260622,4.96,1.12,-16.74,60.97,45.09,1.29,0.15,304.94,0.00,-0.38,-1.49,-0.62,2.06,-7.93,-21.24,-27.92,26.20,21.73,-17.19,47.39,-1927.00,479.87,10858.00,17471.00,117642.00,107041.00,42904,76395,0.00,0.00,0.38,290500.00,0.00,82.88,1036.00,15582.13,54043.39,0.00,0.00,0,1,0,0,-3,7,8.01,13.46,5.19,19.38,0.00,1.31,14.52,43.50,29.83,1.79,1.78,0,0,0,0,0,50452.62,29.05,980.74,1347.54,136568.81,1244.82,0.00,870,0,20260403,0,0,20240711,0,20260428,20260601,20250407,20260416,0,002328.SZ,stock,2026-06-22 22:02:08
"低温奶,常温奶",44,2,10704,0,3.17,2.59,20260622,5.35,0.96,-23.33,23.89,18.70,1.34,0.16,85.44,0.00,-0.35,-2.70,-6.03,-9.18,-19.38,-34.02,-34.92,-24.87,-26.41,-33.72,-16.57,91.91,-270.63,21944.00,28196.00,200050.00,144905.00,23643,41191,0.00,0.00,0.00,648900.00,0.00,38.90,1323.00,9644.24,30617.70,0.00,0.00,0,1,0,0,-4,6,3.00,4.92,2.77,20.10,0.00,0.67,146.68,-5.34,-5.33,0.00,4.79,0,0,0,0,0,59776.21,64.89,-863.83,1069.41,27246.36,17046.82,-859.39,2526,0,0,0,0,20240123,20151028,20260430,20251218,20260605,20260608,0,002329.SZ,stock,2026-06-22 22:02:08
"预制菜类:低温肉制品,冷却肉及冷冻肉",82,1,10901,0,4.05,3.31,20260622,2.02,1.18,-26.12,23.57,23.56,0.36,0.03,22.89,-0.53,0.82,-0.81,-2.62,-4.87,-6.31,-14.12,-21.23,-15.68,-23.35,-9.29,-17.92,66.44,-881.80,9731.00,13589.00,99853.00,51495.00,10602,22625,0.00,0.00,-0.54,126600.00,0.00,5.89,160.00,2976.46,11787.39,0.00,0.00,0,1,0,0,1,2,3.75,5.80,3.55,13.18,0.00,0.42,64.19,514.10,589.10,0.00,1.03,0,0,0,0,0,37484.51,12.66,707.40,398.87,37733.06,26616.63,0.00,1820,0,20241115,0,0,20220825,20220225,20260428,20251223,20250407,20220316,0,002330.SZ,stock,2026-06-22 22:02:08
"技术服务,系统集成",85,0,11408,0,8.90,7.28,20260622,3.58,1.37,-3.48,34.66,32.64,0.93,0.09,42.72,1.38,0.00,1.38,-3.62,-1.70,-8.48,-14.48,-16.77,5.06,-9.30,-4.15,4.52,665.08,-473.80,4501.00,10197.00,59164.00,55217.00,16541,29958,0.00,0.00,0.25,299300.00,0.00,10.22,129.00,10006.16,30932.58,0.00,0.00,0,1,0,0,0,6,8.14,10.80,7.38,27.00,0.00,0.57,-30.04,-10.64,-10.22,0.00,2.40,0,0,0,0,0,31340.77,29.93,-2982.03,1831.05,81498.70,16838.95,0.00,1226,0,0,20250125,0,20260522,20181204,20260423,20260424,20250515,20250808,0,002331.SZ,stock,2026-06-22 22:02:08
皮质激素,100,4,130909,0,9.11,7.45,20260622,1.08,0.99,-38.05,81.41,81.03,0.73,0.02,30.45,0.00,-0.60,-0.36,-1.31,-4.41,-1.32,-1.56,-4.64,-1.91,-6.59,-2.14,-7.63,-2043.35,-1593.53,7747.00,14988.00,39602.00,52229.00,8614,17512,0.00,0.00,-0.24,92500.00,0.00,6.56,79.00,4814.12,20939.64,0.00,0.00,0,1,0,0,-4,0,8.37,11.49,8.09,8.20,0.00,0.10,21.68,18.22,20.50,3.62,1.34,0,0,0,0,0,77135.19,9.25,9011.20,6900.26,121631.74,2317.58,0.00,3209,0,20260515,0,0,20220527,20201127,20260428,20240705,20250407,20240705,0,002332.SZ,stock,2026-06-22 22:02:08
"检测收入,建筑型材",93,0,140707,0,5.38,4.40,20260622,0.88,1.29,-27.52,32.40,31.99,0.82,0.05,16.42,0.00,-1.84,0.20,-2.79,-2.64,-3.22,-9.60,-13.04,-6.43,-14.43,-4.57,-9.26,-545.50,-327.91,9698.00,20477.00,33830.00,31472.00,3743,7918,0.00,0.00,0.20,20100.00,0.00,2.87,59.00,1166.97,6287.88,0.00,0.00,0,1,0,0,-1,4,4.91,6.91,4.71,22.00,0.00,0.60,77.56,61.88,66.21,0.20,1.68,0,0,0,0,0,21246.14,2.01,649.33,1108.71,56151.18,3840.12,0.00,848,0,0,0,0,20260224,20230220,20260424,20260416,20250407,20260417,0,002333.SZ,stock,2026-06-22 22:02:08
变频器类,80,1,80110,0,9.25,7.57,20260622,6.33,1.27,-32.76,67.14,59.98,0.95,0.13,227.09,0.00,-2.97,-0.94,-1.39,0.62,-11.02,-9.34,-1.21,3.95,-8.93,-4.12,8.22,-9574.16,-2071.68,28521.00,70913.00,222324.00,176650.00,39732,69235,0.00,0.00,-0.36,644400.00,0.00,150.00,1773.00,23507.17,86204.45,0.00,0.00,0,1,0,0,-3,3,8.39,10.89,7.22,48.00,0.00,1.23,-55.23,33.21,48.32,0.71,2.20,0,0,0,0,0,71776.97,64.44,-3365.03,12643.63,96730.57,12907.46,0.00,5976,0,20240418,20250913,0,20200116,0,20260417,20260511,20260316,20260417,0,002334.SZ,stock,2026-06-22 22:02:08
"数据中心产品,新能源产品",95,3,10410,0,43.32,35.44,20260622,5.34,1.14,57.93,299.46,264.36,1.33,0.20,1246.35,0.00,1.75,1.16,-0.26,12.36,4.05,-8.64,-14.21,-0.22,5.59,2.59,43.05,-9835.79,-995.89,18299.00,31628.00,119346.00,114733.00,97530,182636,0.00,0.00,0.18,5661100.00,0.00,338.13,865.00,134904.04,363492.17,0.00,0.00,0,5,1,0,2,6,39.33,54.24,26.09,27.35,0.00,1.89,95.97,70.41,68.92,0.88,4.62,0,0,0,0,0,49715.11,566.11,6475.94,10896.73,66930.61,41054.31,0.00,3903,0,0,20260427,0,20190508,20160505,20260427,20260615,20251027,20260310,0,002335.SZ,stock,2026-06-22 22:02:08
专用机械设备,98,1,70101,0,5.31,4.35,20260622,1.55,1.16,-37.04,28.31,28.28,0.88,0.05,20.01,2.11,-0.41,0.21,-3.21,-3.80,-8.03,-15.31,-23.04,-16.06,-26.46,-7.50,-12.54,505.65,5.06,5605.00,7544.00,58344.00,37391.00,11355,22280,0.00,0.00,0.00,182600.00,0.00,20.38,422.00,3620.89,13001.84,0.00,0.00,0,1,0,0,-1,2,4.89,8.18,4.62,31.00,0.00,0.71,94.96,57.87,56.60,0.54,2.12,0,0,0,0,0,36933.57,18.26,215.73,1500.61,63781.97,26017.34,0.00,874,0,0,0,0,20150520,0,20260428,20251023,20250408,20251030,0,002337.SZ,stock,2026-06-22 22:02:08
复合材料,98,3,11410,0,59.40,48.60,20260622,2.72,0.87,37.96,127.51,127.51,0.97,0.09,330.47,0.02,-1.61,-1.17,-1.50,0.36,-0.15,-18.43,-14.22,14.80,-8.90,-4.70,24.92,-3313.87,-1764.72,2898.00,3792.00,35679.00,26558.00,27758,67018,0.00,0.00,0.04,713100.00,0.00,112.71,207.00,30700.01,103719.97,0.00,0.00,0,1,0,0,-3,4,54.13,70.28,42.43,22.00,0.00,1.10,102.51,160.94,132.50,0.13,8.82,0,0,0,0,0,14064.52,71.31,2941.08,2081.34,19265.73,16374.12,0.00,1804,0,0,0,0,20130115,0,20260428,20260421,20251015,20260421,0,002338.SZ,stock,2026-06-22 22:02:08
配用电自动化,84,1,90110,0,8.20,6.71,20260622,3.48,1.27,-16.65,38.51,36.57,1.61,0.14,133.01,0.00,2.55,-2.36,-4.15,-0.00,-7.62,-17.05,-24.50,-30.60,-13.18,-11.78,-0.26,1304.03,-93.71,8059.00,12714.00,91005.00,76480.00,22566,44020,0.00,0.00,0.13,296900.00,0.00,37.87,499.00,9138.42,32156.60,0.00,0.00,0,1,0,0,1,9,7.71,13.53,7.26,25.00,0.00,1.09,-13.12,186.26,461.11,0.27,2.20,0,0,0,0,0,39779.26,29.69,-7940.92,5335.46,54075.42,14394.33,0.00,3365,0,0,0,0,20181008,20170929,20260429,20260318,20250407,20260306,0,002339.SZ,stock,2026-06-22 22:02:08
新能源电池材料:三元前驱体,82,9,10108,0,8.16,6.68,20260622,5.27,1.54,-39.28,402.07,399.99,1.28,0.15,2057.31,0.14,6.20,0.00,-2.75,7.07,9.45,-4.72,-14.81,3.28,-5.74,1.03,28.97,45030.82,25586.17,135182.00,273855.00,1057132.00,982398.00,175004,299255,0.00,0.00,-0.27,8626200.00,100.00,384.50,5196.00,147941.06,473273.24,0.00,0.00,0,1,0,0,1,1,7.59,10.18,6.00,32.00,0.00,0.99,19.24,23.96,23.79,1.28,1.84,0,0,0,0,0,464314.16,862.62,47559.93,28113.59,514402.15,92461.45,0.00,9684,0,20250121,20240816,0,20260204,20200522,20260430,20260211,20250407,20260211,0,002340.SZ,stock,2026-06-22 22:02:08
工程及金属索具,71,2,10112,0,10.97,8.97,20260622,7.55,1.03,-26.16,93.41,92.89,1.19,0.26,579.03,0.00,-2.41,-2.83,-1.54,-4.33,-12.34,-26.06,-55.98,-15.03,5.88,-13.82,60.03,-9462.85,-7100.62,19315.00,61848.00,288470.00,280004.00,96716,166408,0.00,0.00,0.00,3589200.25,100.00,564.40,5469.00,60486.56,201006.76,0.00,0.00,0,1,0,0,-3,21,10.13,23.99,5.30,24.00,0.00,0.63,629.18,548.92,631.27,0.06,3.82,0,0,0,0,0,69407.00,358.92,304.53,389.04,49961.43,15438.59,0.00,3075,0,0,0,0,20140130,0,20260428,20260507,20260521,20260521,0,002342.SZ,stock,2026-06-22 22:02:08
影视剧业,41,1,90913,0,5.21,4.27,20260622,3.31,1.41,-64.62,22.93,22.93,0.79,0.07,37.85,0.43,2.11,0.42,-4.07,-2.03,-4.72,-12.48,-23.42,-18.24,-32.40,-8.51,-40.68,259.80,-200.63,5967.00,13214.00,109941.00,77611.00,13982,30964,0.00,0.00,-1.05,339600.00,0.00,12.99,277.00,4463.40,17398.08,0.00,0.00,0,1,0,0,2,4,4.83,9.88,4.53,31.00,0.00,0.52,-43.64,-124.20,-67.55,0.00,2.40,0,0,0,0,0,34635.29,33.96,-1736.22,0.00,11383.70,17110.32,0.00,56,0,20241030,0,0,20201215,20171215,20260430,20250819,20250407,20250619,0,002343.SZ,stock,2026-06-22 22:02:08
物业租赁及管理,93,1,10901,0,4.08,3.34,20260622,1.06,1.17,-35.64,47.97,47.92,1.10,0.05,31.86,0.54,0.81,0.00,-3.39,-1.58,-4.35,-10.96,-15.57,-10.10,-21.10,-5.32,-9.67,304.14,-137.37,12494.00,19926.00,121026.00,87488.00,8891,19603,0.00,0.00,0.27,14900.00,0.00,29.93,811.00,4837.57,14643.39,0.00,0.00,0,1,0,0,1,1,3.77,5.36,3.56,20.00,0.00,0.52,32.19,67.39,98.89,1.08,0.57,0,0,0,0,0,60215.00,1.49,3603.67,46.91,46950.09,9682.49,0.00,1201,0,0,0,0,20180123,20161226,20260429,20251204,20250407,20241127,0,002344.SZ,stock,2026-06-22 22:02:08
时尚珠宝产品,97,4,10910,0,10.59,8.67,20260622,2.69,0.72,-23.64,86.72,84.64,1.56,0.14,276.40,-0.41,1.35,-2.03,-3.82,0.00,8.93,5.74,-3.75,7.02,-19.67,5.97,-30.43,-1278.05,-1334.98,9427.00,19348.00,110638.00,83325.00,39431,69950,0.00,0.00,-0.52,530700.00,0.00,50.07,512.00,14508.87,59858.37,0.00,0.00,0,1,0,0,1,2,9.89,17.23,8.37,33.00,0.00,0.64,8.23,17.22,14.97,4.67,2.16,0,0,0,0,0,53871.58,53.07,26307.72,1386.97,70087.79,17075.26,0.00,3451,0,0,0,0,20200720,20170720,20260430,20260612,20250605,20251103,0,002345.SZ,stock,2026-06-22 22:02:08
成套开关设备,100,1,10108,0,20.27,16.59,20260622,1.56,0.97,0.00,89.51,79.48,0.09,0.01,8.11,1.13,9.98,0.55,1.78,26.69,13.56,-0.39,10.83,12.30,-0.20,-2.79,49.93,-3344.36,4085.65,23226.00,0.00,271334.00,8783.00,6284,17938,3850.89,0.31,2.06,1106000.00,0.00,216.19,1153.00,13245.59,44513.72,0.00,0.00,0,4,2,1,6,6,18.28,23.74,12.92,19.90,0.00,1.07,3332.86,19.13,29.18,2.58,3.09,0,0,0,0,0,18919.41,110.60,2911.64,975.64,19015.22,15097.81,0.00,465,0,0,0,0,20180102,20141229,20260429,20260616,20240416,20250108,0,002346.SZ,stock,2026-06-22 22:02:08
